Year,Vietnam,India,Thailand
1990,0,14500,941
1991,0,14000,1129
1992,0,11000,803
1993,0,14500,255
1994,0,14500,186
1995,250,11500,850
1996,450,9500,706
1997,768,10500,1049
1998,881,12000,1060
1999,925,17716,1961
2000,978,25051,2247
2001,843,24480,3116
2002,1168,11000,3302
2003,1025,10800,1706
2004,1292,8500,2312
2005,1317,10520,3594
2006,1392,11430,2510
2007,2018,13000,2707
2008,1961,19000,4787
2009,1470,20500,6100
2010,1941,23500,5615
2011,1826,25100,9330
2012,863,25440,12808
2013,999,22757,11724
2014,959,17766,10095
2015,609,13266,5195